informant,construct,status,variable,label
parent,No suicidal ideation or behavior,present,mh_p_ksads__suic__none__pres_dx,Diagnosis: No suicidal ideation or behavior - Present [Parent]
parent,"Suicidal ideation, passive",past,mh_p_ksads__suic__pass__past_dx,"Diagnosis: Suicidal ideation, passive - Past [Parent]"
parent,"Suicidal ideation, passive",present,mh_p_ksads__suic__pass__pres_dx,"Diagnosis: Suicidal ideation, passive - Present [Parent]"
parent,"Self injurious behavior, without suicidal intent",past,mh_p_ksads__suic__slfinj__nosi__past_dx,"Diagnosis: Self injurious behavior, without suicidal intent - Past [Parent]"
parent,"Self injurious behavior, without suicidal intent",present,mh_p_ksads__suic__slfinj__nosi__pres_dx,"Diagnosis: Self injurious behavior, without suicidal intent - Present [Parent]"
youth,"Suicidal ideation, active intent",past,mh_y_ksads__suic__actv__int__past_dx,"Diagnosis: Suicidal ideation, active intent - Past [Youth]"
youth,"Suicidal ideation, active intent",present,mh_y_ksads__suic__actv__int__pres_dx,"Diagnosis: Suicidal ideation, active intent - Present [Youth]"
youth,"Suicidal ideation, active method",past,mh_y_ksads__suic__actv__mthd__past_dx,"Diagnosis: Suicidal ideation, active method - Past [Youth]"
youth,"Suicidal ideation, active method",present,mh_y_ksads__suic__actv__mthd__pres_dx,"Diagnosis: Suicidal ideation, active method - Present [Youth]"
youth,"Suicidal ideation, active non",past,mh_y_ksads__suic__actv__past_dx,"Diagnosis: Suicidal ideation, active non-specific - Past [Youth]"
youth,"Suicidal ideation, active plan",past,mh_y_ksads__suic__actv__plan__past_dx,"Diagnosis: Suicidal ideation, active plan - Past [Youth]"
youth,"Suicidal ideation, active plan",present,mh_y_ksads__suic__actv__plan__pres_dx,"Diagnosis: Suicidal ideation, active plan - Present [Youth]"
youth,"Suicidal ideation, active non",present,mh_y_ksads__suic__actv__pres_dx,"Diagnosis: Suicidal ideation, active non-specific - Present [Youth]"
youth,Aborted attempt,past,mh_y_ksads__suic__atmpt__abrt__past_dx,Diagnosis: Aborted attempt - Past [Youth]
youth,Aborted attempt,present,mh_y_ksads__suic__atmpt__abrt__pres_dx,Diagnosis: Aborted attempt - Present [Youth]
youth,Interrupted attempt,past,mh_y_ksads__suic__atmpt__intr__past_dx,Diagnosis: Interrupted attempt - Past [Youth]
youth,Interrupted attempt,present,mh_y_ksads__suic__atmpt__intr__pres_dx,Diagnosis: Interrupted attempt - Present [Youth]
youth,Suicide attempt,past,mh_y_ksads__suic__atmpt__past_dx,Diagnosis: Suicide attempt - Past [Youth]
youth,Suicide attempt,present,mh_y_ksads__suic__atmpt__pres_dx,Diagnosis: Suicide attempt - Present [Youth]
youth,Preparatory actions toward imminent suicidal behavior,past,mh_y_ksads__suic__imnt__past_dx,Diagnosis: Preparatory actions toward imminent suicidal behavior - Past [Youth]
youth,Preparatory actions toward imminent suicidal behavior,present,mh_y_ksads__suic__imnt__pres_dx,Diagnosis: Preparatory actions toward imminent suicidal behavior - Present [Youth]
youth,No past suicidal ideation or behavior,past,mh_y_ksads__suic__none__past_dx,Diagnosis: No past suicidal ideation or behavior - Past [Youth]
youth,No suicidal ideation or behavior,present,mh_y_ksads__suic__none__pres_dx,Diagnosis: No suicidal ideation or behavior - Present [Youth]
youth,"Suicidal ideation, passive",past,mh_y_ksads__suic__pass__past_dx,"Diagnosis: Suicidal ideation, passive - Past [Youth]"
youth,"Suicidal ideation, passive",present,mh_y_ksads__suic__pass__pres_dx,"Diagnosis: Suicidal ideation, passive - Present [Youth]"
youth,"Self injurious behavior, without suicidal intent",past,mh_y_ksads__suic__slfinj__nosi__past_dx,"Diagnosis: Self injurious behavior, without suicidal intent - Past [Youth]"
youth,"Self injurious behavior, without suicidal intent",present,mh_y_ksads__suic__slfinj__nosi__pres_dx,"Diagnosis: Self injurious behavior, without suicidal intent - Present [Youth]"
