disorder,module,informant,status,ksads1_var,ksads2_var,merged_var,proposed_case_definition,confidence,confirmed_use,notes
"Bipolar I disorder, current episode manic",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd1__curmanic__pres_dx,mh_p_ksads__bpd__bpd1__curmanic__pres_dx == 1,high,,
"Bipolar I disorder, most recent past episode depressed",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd1__rcnt__dep__pres_dx,mh_p_ksads__bpd__bpd1__rcnt__dep__pres_dx == 1,medium,,
"Bipolar I disorder, most recent past episode manic",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd1__rcnt__manic__pres_dx,mh_p_ksads__bpd__bpd1__rcnt__manic__pres_dx == 1,medium,,
"Bipolar I disorder, most recent episode manic/depressed/mixed",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd1__rcnt__manicmix__pres_dx,mh_p_ksads__bpd__bpd1__rcnt__manicmix__pres_dx == 1,medium,,
"Bipolar II disorder, currently depressed",bpd,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd2__curdep__partrem_dx,mh_p_ksads__bpd__bpd2__curdep__partrem_dx == 1,high,,
"Bipolar II disorder, currently depressed",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd2__curdep__pres_dx,mh_p_ksads__bpd__bpd2__curdep__pres_dx == 1,high,,
"Bipolar II disorder, currently depressed",bpd,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd2__curdep__partrem_dx | mh_p_ksads__bpd__bpd2__curdep__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Bipolar II disorder, currently hypomanic",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd2__curhypo__pres_dx,mh_p_ksads__bpd__bpd2__curhypo__pres_dx == 1,high,,
"Other specified bipolar and related disorder, meets criteria for bipolar II disorder",bpd,parent,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd2__oth__nomdd_dx,mh_p_ksads__bpd__bpd2__oth__nomdd_dx == 1,low,,
"Bipolar II disorder, most recent episode hypomanic",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd2__rcnt__hypo__pres_dx,mh_p_ksads__bpd__bpd2__rcnt__hypo__pres_dx == 1,medium,,
"Bipolar II disorder, most recent episode hypomanic/depressed/mixed",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd2__rcnt__hypomix__pres_dx,mh_p_ksads__bpd__bpd2__rcnt__hypomix__pres_dx == 1,medium,,
"Other specified bipolar and related disorder, recurrent manic or hypomanic episodes",bpd,parent,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__oth__mindur_dx,mh_p_ksads__bpd__oth__mindur_dx == 1,low,,
Unspecified bipolar and related disorder,bpd,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__unspec__past_dx,mh_p_ksads__bpd__unspec__past_dx == 1,low,,
Unspecified bipolar and related disorder,bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__unspec__pres_dx,mh_p_ksads__bpd__unspec__pres_dx == 1,low,,
Unspecified bipolar and related disorder,bpd,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__unspec__past_dx | mh_p_ksads__bpd__unspec__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Conduct disorder, adolescent onset",cond,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__cond__onset__adoles__past_dx,mh_p_ksads__cond__onset__adoles__past_dx == 1,high,,
"Conduct disorder, adolescent onset",cond,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__cond__onset__adoles__pres_dx,mh_p_ksads__cond__onset__adoles__pres_dx == 1,high,,
"Conduct disorder, adolescent onset",cond,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__cond__onset__adoles__past_dx | mh_p_ksads__cond__onset__adoles__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Conduct disorder, childhood onset",cond,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__cond__onset__chld__past_dx,mh_p_ksads__cond__onset__chld__past_dx == 1,high,,
"Conduct disorder, childhood onset",cond,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__cond__onset__chld__pres_dx,mh_p_ksads__cond__onset__chld__pres_dx == 1,high,,
"Conduct disorder, childhood onset",cond,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__cond__onset__chld__past_dx | mh_p_ksads__cond__onset__chld__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Major depressive disorder,dep,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__mdd__partrem_dx,mh_p_ksads__dep__mdd__partrem_dx == 1,high,,
Major depressive disorder,dep,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__mdd__past_dx,mh_p_ksads__dep__mdd__past_dx == 1,high,,
Major depressive disorder,dep,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__mdd__pres_dx,mh_p_ksads__dep__mdd__pres_dx == 1,high,,
Major depressive disorder,dep,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__mdd__partrem_dx | mh_p_ksads__dep__mdd__past_dx | mh_p_ksads__dep__mdd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified depressive disorder, persistent depressive disorder",dep,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__pdd__oth__pres_dx,mh_p_ksads__dep__pdd__oth__pres_dx == 1,low,,
Persistent depressive disorder,dep,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__pdd__partrem_dx,mh_p_ksads__dep__pdd__partrem_dx == 1,high,,
Persistent depressive disorder,dep,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__pdd__past_dx,mh_p_ksads__dep__pdd__past_dx == 1,high,,
Persistent depressive disorder,dep,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__pdd__pres_dx,mh_p_ksads__dep__pdd__pres_dx == 1,high,,
Persistent depressive disorder,dep,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__pdd__partrem_dx | mh_p_ksads__dep__pdd__past_dx | mh_p_ksads__dep__pdd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
