disorder,module,informant,status,ksads1_var,ksads2_var,merged_var,proposed_case_definition,confidence,confirmed_use,notes
Associated psychotic symptoms,psych,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__aps__pres_dx,mh_p_ksads__psych__aps__pres_dx == 1,low,,
Associated psychotic symptoms,psych,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__aps__past_dx | mh_p_ksads__psych__aps__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Delusions,psych,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__delus__past_dx,mh_p_ksads__psych__delus__past_dx == 1,high,,
Delusions,psych,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__delus__pres_dx,mh_p_ksads__psych__delus__pres_dx == 1,high,,
Delusions,psych,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__delus__past_dx | mh_p_ksads__psych__delus__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Hallucinations,psych,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__hlcn__past_dx,mh_p_ksads__psych__hlcn__past_dx == 1,high,,
Hallucinations,psych,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__hlcn__pres_dx,mh_p_ksads__psych__hlcn__pres_dx == 1,high,,
Hallucinations,psych,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__hlcn__past_dx | mh_p_ksads__psych__hlcn__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Other specified psychotic disorder,psych,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__oth__pres_dx,mh_p_ksads__psych__oth__pres_dx == 1,low,,
Unspecified schizophrenia spectrum and other psychotic disorder,psych,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__schiz__oth__past_dx,mh_p_ksads__psych__schiz__oth__past_dx == 1,low,,
Unspecified schizophrenia spectrum and other psychotic disorder,psych,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__schiz__oth__pres_dx,mh_p_ksads__psych__schiz__oth__pres_dx == 1,low,,
Unspecified schizophrenia spectrum and other psychotic disorder,psych,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__schiz__oth__past_dx | mh_p_ksads__psych__schiz__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Schizophrenia,psych,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__schiz__pres_dx,mh_p_ksads__psych__schiz__pres_dx == 1,high,,
Schizoaffective disorder,psych,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__schizaffct__pres_dx,mh_p_ksads__psych__schizaffct__pres_dx == 1,high,,
Schizophreniform disorder,psych,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__schizform__pres_dx,mh_p_ksads__psych__schizform__pres_dx == 1,high,,
"Other specified trauma and stressor related disorder, PTSD",ptsd,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ptsd__oth__past_dx,mh_p_ksads__ptsd__oth__past_dx == 1,low,,
"Other specified trauma and stressor related disorder, PTSD",ptsd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ptsd__oth__pres_dx,mh_p_ksads__ptsd__oth__pres_dx == 1,low,,
"Other specified trauma and stressor related disorder, PTSD",ptsd,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ptsd__oth__past_dx | mh_p_ksads__ptsd__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Post-traumatic stress disorder,ptsd,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ptsd__partrem_dx,mh_p_ksads__ptsd__partrem_dx == 1,high,,
Post-traumatic stress disorder,ptsd,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ptsd__past_dx,mh_p_ksads__ptsd__past_dx == 1,high,,
Post-traumatic stress disorder,ptsd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ptsd__pres_dx,mh_p_ksads__ptsd__pres_dx == 1,high,,
Post-traumatic stress disorder,ptsd,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ptsd__partrem_dx | mh_p_ksads__ptsd__past_dx | mh_p_ksads__ptsd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified anxiety disorder, separation anxiety disorder",sepanx,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__sepanx__oth__past_dx,mh_p_ksads__sepanx__oth__past_dx == 1,low,,
"Other specified anxiety disorder, separation anxiety disorder",sepanx,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__sepanx__oth__pres_dx,mh_p_ksads__sepanx__oth__pres_dx == 1,low,,
"Other specified anxiety disorder, separation anxiety disorder",sepanx,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__sepanx__oth__past_dx | mh_p_ksads__sepanx__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Separation anxiety disorder,sepanx,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__sepanx__past_dx,mh_p_ksads__sepanx__past_dx == 1,high,,
Separation anxiety disorder,sepanx,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__sepanx__pres_dx,mh_p_ksads__sepanx__pres_dx == 1,high,,
Separation anxiety disorder,sepanx,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__sepanx__past_dx | mh_p_ksads__sepanx__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Sleep problems,sleep,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__sleep__prob__past_dx,mh_p_ksads__sleep__prob__past_dx == 1,high,,
Sleep problems,sleep,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__sleep__prob__pres_dx,mh_p_ksads__sleep__prob__pres_dx == 1,high,,
Sleep problems,sleep,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__sleep__prob__past_dx | mh_p_ksads__sleep__prob__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified anxiety disorder, social anxiety disorder",socanx,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__socanx__oth__mindur__past_dx,mh_p_ksads__socanx__oth__mindur__past_dx == 1,low,,
"Other specified anxiety disorder, social anxiety disorder",socanx,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__socanx__oth__mindur__pres_dx,mh_p_ksads__socanx__oth__mindur__pres_dx == 1,low,,
"Other specified anxiety disorder, social anxiety disorder",socanx,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__socanx__oth__mindur__past_dx | mh_p_ksads__socanx__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Social anxiety disorder,socanx,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__socanx__past_dx,mh_p_ksads__socanx__past_dx == 1,low,,
Social anxiety disorder,socanx,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__socanx__pres_dx,mh_p_ksads__socanx__pres_dx == 1,low,,
Social anxiety disorder,socanx,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__socanx__past_dx | mh_p_ksads__socanx__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Suicidal ideation, active intent",suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__int__past_dx,mh_p_ksads__suic__actv__int__past_dx == 1,medium,,
"Suicidal ideation, active intent",suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__int__pres_dx,mh_p_ksads__suic__actv__int__pres_dx == 1,medium,,
"Suicidal ideation, active intent",suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__int__past_dx | mh_p_ksads__suic__actv__int__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Suicidal ideation, active method",suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__mthd__past_dx,mh_p_ksads__suic__actv__mthd__past_dx == 1,medium,,
"Suicidal ideation, active method",suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__mthd__pres_dx,mh_p_ksads__suic__actv__mthd__pres_dx == 1,medium,,
"Suicidal ideation, active method",suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__mthd__past_dx | mh_p_ksads__suic__actv__mthd__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Suicidal ideation, active non-specific",suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__past_dx,mh_p_ksads__suic__actv__past_dx == 1,medium,,
"Suicidal ideation, active non-specific",suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__pres_dx,mh_p_ksads__suic__actv__pres_dx == 1,medium,,
"Suicidal ideation, active non-specific",suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__past_dx | mh_p_ksads__suic__actv__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Suicidal ideation, active plan",suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__plan__past_dx,mh_p_ksads__suic__actv__plan__past_dx == 1,medium,,
"Suicidal ideation, active plan",suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__plan__pres_dx,mh_p_ksads__suic__actv__plan__pres_dx == 1,medium,,
"Suicidal ideation, active plan",suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__actv__plan__past_dx | mh_p_ksads__suic__actv__plan__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
Aborted attempt,suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__atmpt__abrt__past_dx,mh_p_ksads__suic__atmpt__abrt__past_dx == 1,medium,,
Aborted attempt,suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__atmpt__abrt__pres_dx,mh_p_ksads__suic__atmpt__abrt__pres_dx == 1,medium,,
Aborted attempt,suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__atmpt__abrt__past_dx | mh_p_ksads__suic__atmpt__abrt__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
Interrupted attempt,suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__atmpt__intr__past_dx,mh_p_ksads__suic__atmpt__intr__past_dx == 1,medium,,
Interrupted attempt,suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__atmpt__intr__pres_dx,mh_p_ksads__suic__atmpt__intr__pres_dx == 1,medium,,
Interrupted attempt,suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__atmpt__intr__past_dx | mh_p_ksads__suic__atmpt__intr__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
Suicide attempt,suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__atmpt__past_dx,mh_p_ksads__suic__atmpt__past_dx == 1,medium,,
Suicide attempt,suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__atmpt__pres_dx,mh_p_ksads__suic__atmpt__pres_dx == 1,medium,,
Suicide attempt,suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__atmpt__past_dx | mh_p_ksads__suic__atmpt__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
Preparatory actions toward imminent suicidal behavior,suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__imnt__past_dx,mh_p_ksads__suic__imnt__past_dx == 1,medium,,
Preparatory actions toward imminent suicidal behavior,suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__imnt__pres_dx,mh_p_ksads__suic__imnt__pres_dx == 1,medium,,
Preparatory actions toward imminent suicidal behavior,suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__imnt__past_dx | mh_p_ksads__suic__imnt__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
No past suicidal ideation or behavior,suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__none__past_dx,mh_p_ksads__suic__none__past_dx == 1,reference,,
No suicidal ideation or behavior,suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__none__pres_dx,mh_p_ksads__suic__none__pres_dx == 1,reference,,
"Suicidal ideation, passive",suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__pass__past_dx,mh_p_ksads__suic__pass__past_dx == 1,medium,,
"Suicidal ideation, passive",suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__pass__pres_dx,mh_p_ksads__suic__pass__pres_dx == 1,medium,,
"Suicidal ideation, passive",suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__pass__past_dx | mh_p_ksads__suic__pass__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Self injurious behavior, without suicidal intent",suic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__slfinj__nosi__past_dx,mh_p_ksads__suic__slfinj__nosi__past_dx == 1,medium,,
"Self injurious behavior, without suicidal intent",suic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__slfinj__nosi__pres_dx,mh_p_ksads__suic__slfinj__nosi__pres_dx == 1,medium,,
"Self injurious behavior, without suicidal intent",suic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__suic__slfinj__nosi__past_dx | mh_p_ksads__suic__slfinj__nosi__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
Persistent,tic,parent,remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__tic__perst__nosymp__rem_dx,mh_p_ksads__tic__perst__nosymp__rem_dx == 1,high,,
Persistent,tic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__tic__perst__pres_dx,mh_p_ksads__tic__perst__pres_dx == 1,high,,
Provisional tic disorder,tic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__tic__prov__pres_dx,mh_p_ksads__tic__prov__pres_dx == 1,high,,
"Tourette's disorder, no symptoms since X",tic,parent,remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__tic__ts__nosymp__rem_dx,mh_p_ksads__tic__ts__nosymp__rem_dx == 1,high,,
Tourette's disorder,tic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__tic__ts__pres_dx,mh_p_ksads__tic__ts__pres_dx == 1,high,,
Unspecified tic disorder,tic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__tic__unspec__past_dx,mh_p_ksads__tic__unspec__past_dx == 1,low,,
Unspecified tic disorder,tic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__tic__unspec__pres_dx,mh_p_ksads__tic__unspec__pres_dx == 1,low,,
Unspecified tic disorder,tic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__tic__unspec__past_dx | mh_p_ksads__tic__unspec__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Bipolar I disorder, currently depressed",bpd,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd1__curdep__partrem_dx,mh_y_ksads__bpd__bpd1__curdep__partrem_dx == 1,high,,
"Bipolar I disorder, current episode depressed",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd1__curdep__pres_dx,mh_y_ksads__bpd__bpd1__curdep__pres_dx == 1,high,,
"Bipolar I disorder, currently hypomanic",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd1__curhypo__pres_dx,mh_y_ksads__bpd__bpd1__curhypo__pres_dx == 1,high,,
"Bipolar I disorder, current episode manic",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd1__curmanic__pres_dx,mh_y_ksads__bpd__bpd1__curmanic__pres_dx == 1,high,,
"Bipolar I disorder, most recent past episode depressed",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd1__rcnt__dep__pres_dx,mh_y_ksads__bpd__bpd1__rcnt__dep__pres_dx == 1,medium,,
"Bipolar I disorder, most recent past episode manic",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd1__rcnt__manic__pres_dx,mh_y_ksads__bpd__bpd1__rcnt__manic__pres_dx == 1,medium,,
"Bipolar I disorder, most recent episode manic/depressed/mixed",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd1__rcnt__manicmix__pres_dx,mh_y_ksads__bpd__bpd1__rcnt__manicmix__pres_dx == 1,medium,,
"Bipolar II disorder, currently depressed",bpd,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd2__curdep__partrem_dx,mh_y_ksads__bpd__bpd2__curdep__partrem_dx == 1,high,,
"Bipolar II disorder, currently depressed",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd2__curdep__pres_dx,mh_y_ksads__bpd__bpd2__curdep__pres_dx == 1,high,,
"Bipolar II disorder, currently depressed",bpd,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd2__curdep__partrem_dx | mh_y_ksads__bpd__bpd2__curdep__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Bipolar II disorder, currently hypomanic",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd2__curhypo__pres_dx,mh_y_ksads__bpd__bpd2__curhypo__pres_dx == 1,high,,
"Other specified bipolar and related disorder, meets criteria for bipolar II disorder",bpd,youth,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd2__oth__nomdd_dx,mh_y_ksads__bpd__bpd2__oth__nomdd_dx == 1,low,,
"Bipolar II disorder, most recent episode hypomanic",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd2__rcnt__hypo__pres_dx,mh_y_ksads__bpd__bpd2__rcnt__hypo__pres_dx == 1,medium,,
"Bipolar II disorder, most recent episode hypomanic/depressed/mixed",bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__bpd2__rcnt__hypomix__pres_dx,mh_y_ksads__bpd__bpd2__rcnt__hypomix__pres_dx == 1,medium,,
"Other specified bipolar and related disorder, recurrent manic or hypomanic episodes",bpd,youth,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__oth__mindur_dx,mh_y_ksads__bpd__oth__mindur_dx == 1,low,,
Unspecified bipolar and related disorder,bpd,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__unspec__past_dx,mh_y_ksads__bpd__unspec__past_dx == 1,low,,
Unspecified bipolar and related disorder,bpd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__unspec__pres_dx,mh_y_ksads__bpd__unspec__pres_dx == 1,low,,
Unspecified bipolar and related disorder,bpd,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__bpd__unspec__past_dx | mh_y_ksads__bpd__unspec__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Conduct disorder, adolescent onset",cond,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__cond__onset__adoles__past_dx,mh_y_ksads__cond__onset__adoles__past_dx == 1,high,,
"Conduct disorder, adolescent onset",cond,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__cond__onset__adoles__pres_dx,mh_y_ksads__cond__onset__adoles__pres_dx == 1,high,,
"Conduct disorder, adolescent onset",cond,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__cond__onset__adoles__past_dx | mh_y_ksads__cond__onset__adoles__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Conduct disorder, childhood onset",cond,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__cond__onset__chld__past_dx,mh_y_ksads__cond__onset__chld__past_dx == 1,high,,
"Conduct disorder, childhood onset",cond,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__cond__onset__chld__pres_dx,mh_y_ksads__cond__onset__chld__pres_dx == 1,high,,
"Conduct disorder, childhood onset",cond,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__cond__onset__chld__past_dx | mh_y_ksads__cond__onset__chld__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Major depressive disorder,dep,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__mdd__partrem_dx,mh_y_ksads__dep__mdd__partrem_dx == 1,high,,
Major depressive disorder,dep,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__mdd__past_dx,mh_y_ksads__dep__mdd__past_dx == 1,high,,
Major depressive disorder,dep,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__mdd__pres_dx,mh_y_ksads__dep__mdd__pres_dx == 1,high,,
Major depressive disorder,dep,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__mdd__partrem_dx | mh_y_ksads__dep__mdd__past_dx | mh_y_ksads__dep__mdd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified depressive disorder, persistent depressive disorder",dep,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__pdd__oth__pres_dx,mh_y_ksads__dep__pdd__oth__pres_dx == 1,low,,
Persistent depressive disorder,dep,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__pdd__partrem_dx,mh_y_ksads__dep__pdd__partrem_dx == 1,high,,
Persistent depressive disorder,dep,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__pdd__past_dx,mh_y_ksads__dep__pdd__past_dx == 1,high,,
Persistent depressive disorder,dep,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__pdd__pres_dx,mh_y_ksads__dep__pdd__pres_dx == 1,high,,
Persistent depressive disorder,dep,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__pdd__partrem_dx | mh_y_ksads__dep__pdd__past_dx | mh_y_ksads__dep__pdd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Unspecified depressive disorder,dep,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__unspec__past_dx,mh_y_ksads__dep__unspec__past_dx == 1,low,,
Unspecified depressive disorder,dep,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__unspec__pres_dx,mh_y_ksads__dep__unspec__pres_dx == 1,low,,
Unspecified depressive disorder,dep,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dep__unspec__past_dx | mh_y_ksads__dep__unspec__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Disruptive mood dysregulation disorder,dmdd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__dmdd__dmdd__pres_dx,mh_y_ksads__dmdd__dmdd__pres_dx == 1,high,,
