table,module,informant,disorder,status,variable,session_id,ksads_version,n_present,n_absent,n_branchskip_888,n_notadmin_555,n_nan,n_total,pct_administered
mh_y_ksads__suic,suic,youth,atmpt,present,mh_y_ksads__suic__atmpt__pres_dx,ses-00A,1.0,23,11752,0,0,7,11782,99.9
mh_y_ksads__suic,suic,youth,atmpt,present,mh_y_ksads__suic__atmpt__pres_dx,ses-01A,1.0,12,11085,0,0,9,11106,99.9
mh_y_ksads__suic,suic,youth,atmpt,present,mh_y_ksads__suic__atmpt__pres_dx,ses-02A,1.0,13,10841,0,0,1,10855,100.0
mh_y_ksads__suic,suic,youth,atmpt,present,mh_y_ksads__suic__atmpt__pres_dx,ses-03A,2.0,17,10284,0,0,0,10301,100.0
mh_y_ksads__suic,suic,youth,atmpt,present,mh_y_ksads__suic__atmpt__pres_dx,ses-04A,2.0,16,9017,0,0,7,9040,99.9
mh_y_ksads__suic,suic,youth,atmpt,present,mh_y_ksads__suic__atmpt__pres_dx,ses-05A,2.0,12,8523,0,0,0,8535,100.0
mh_y_ksads__suic,suic,youth,atmpt,present,mh_y_ksads__suic__atmpt__pres_dx,ses-06A,2.0,24,9271,0,0,4,9299,100.0
mh_y_ksads__suic,suic,youth,atmpt,present,mh_y_ksads__suic__atmpt__pres_dx,ses-07A,2.0,13,8331,0,0,13,8357,99.8
mh_y_ksads__suic,suic,youth,imnt,past,mh_y_ksads__suic__imnt__past_dx,ses-00A,1.0,40,11735,0,0,7,11782,99.9
mh_y_ksads__suic,suic,youth,imnt,past,mh_y_ksads__suic__imnt__past_dx,ses-01A,1.0,43,11054,0,0,9,11106,99.9
mh_y_ksads__suic,suic,youth,imnt,past,mh_y_ksads__suic__imnt__past_dx,ses-02A,1.0,45,10809,0,0,1,10855,100.0
mh_y_ksads__suic,suic,youth,imnt,past,mh_y_ksads__suic__imnt__past_dx,ses-03A,2.0,73,10228,0,0,0,10301,100.0
mh_y_ksads__suic,suic,youth,imnt,past,mh_y_ksads__suic__imnt__past_dx,ses-04A,2.0,106,8927,0,0,7,9040,99.9
mh_y_ksads__suic,suic,youth,imnt,past,mh_y_ksads__suic__imnt__past_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__suic,suic,youth,imnt,past,mh_y_ksads__suic__imnt__past_dx,ses-06A,2.0,0,0,0,9295,4,9299,0.0
mh_y_ksads__suic,suic,youth,imnt,past,mh_y_ksads__suic__imnt__past_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__suic,suic,youth,imnt,present,mh_y_ksads__suic__imnt__pres_dx,ses-00A,1.0,24,11751,0,0,7,11782,99.9
mh_y_ksads__suic,suic,youth,imnt,present,mh_y_ksads__suic__imnt__pres_dx,ses-01A,1.0,22,11075,0,0,9,11106,99.9
mh_y_ksads__suic,suic,youth,imnt,present,mh_y_ksads__suic__imnt__pres_dx,ses-02A,1.0,21,10833,0,0,1,10855,100.0
mh_y_ksads__suic,suic,youth,imnt,present,mh_y_ksads__suic__imnt__pres_dx,ses-03A,2.0,32,10269,0,0,0,10301,100.0
mh_y_ksads__suic,suic,youth,imnt,present,mh_y_ksads__suic__imnt__pres_dx,ses-04A,2.0,48,8985,0,0,7,9040,99.9
mh_y_ksads__suic,suic,youth,imnt,present,mh_y_ksads__suic__imnt__pres_dx,ses-05A,2.0,26,8509,0,0,0,8535,100.0
mh_y_ksads__suic,suic,youth,imnt,present,mh_y_ksads__suic__imnt__pres_dx,ses-06A,2.0,45,9250,0,0,4,9299,100.0
mh_y_ksads__suic,suic,youth,imnt,present,mh_y_ksads__suic__imnt__pres_dx,ses-07A,2.0,28,8316,0,0,13,8357,99.8
mh_y_ksads__suic,suic,youth,none,past,mh_y_ksads__suic__none__past_dx,ses-00A,1.0,0,11775,0,0,7,11782,99.9
mh_y_ksads__suic,suic,youth,none,past,mh_y_ksads__suic__none__past_dx,ses-01A,1.0,0,11097,0,0,9,11106,99.9
