disorder,module,informant,status,merged_var,proposed_case_definition
Post-traumatic stress disorder,ptsd,parent,partial_remission,mh_p_ksads__ptsd__partrem_dx,mh_p_ksads__ptsd__partrem_dx == 1
Post-traumatic stress disorder,ptsd,parent,past,mh_p_ksads__ptsd__past_dx,mh_p_ksads__ptsd__past_dx == 1
Post-traumatic stress disorder,ptsd,parent,present,mh_p_ksads__ptsd__pres_dx,mh_p_ksads__ptsd__pres_dx == 1
Post-traumatic stress disorder,ptsd,parent,lifetime_union,mh_p_ksads__ptsd__partrem_dx | mh_p_ksads__ptsd__past_dx | mh_p_ksads__ptsd__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified anxiety disorder, separation anxiety disorder",sepanx,parent,past,mh_p_ksads__sepanx__oth__past_dx,mh_p_ksads__sepanx__oth__past_dx == 1
"Other specified anxiety disorder, separation anxiety disorder",sepanx,parent,present,mh_p_ksads__sepanx__oth__pres_dx,mh_p_ksads__sepanx__oth__pres_dx == 1
"Other specified anxiety disorder, separation anxiety disorder",sepanx,parent,lifetime_union,mh_p_ksads__sepanx__oth__past_dx | mh_p_ksads__sepanx__oth__pres_dx,any(present/past/partial_remission _dx == 1)
Separation anxiety disorder,sepanx,parent,past,mh_p_ksads__sepanx__past_dx,mh_p_ksads__sepanx__past_dx == 1
Separation anxiety disorder,sepanx,parent,present,mh_p_ksads__sepanx__pres_dx,mh_p_ksads__sepanx__pres_dx == 1
Separation anxiety disorder,sepanx,parent,lifetime_union,mh_p_ksads__sepanx__past_dx | mh_p_ksads__sepanx__pres_dx,any(present/past/partial_remission _dx == 1)
Sleep problems,sleep,parent,past,mh_p_ksads__sleep__prob__past_dx,mh_p_ksads__sleep__prob__past_dx == 1
Sleep problems,sleep,parent,present,mh_p_ksads__sleep__prob__pres_dx,mh_p_ksads__sleep__prob__pres_dx == 1
Sleep problems,sleep,parent,lifetime_union,mh_p_ksads__sleep__prob__past_dx | mh_p_ksads__sleep__prob__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified anxiety disorder, social anxiety disorder",socanx,parent,past,mh_p_ksads__socanx__oth__mindur__past_dx,mh_p_ksads__socanx__oth__mindur__past_dx == 1
"Other specified anxiety disorder, social anxiety disorder",socanx,parent,present,mh_p_ksads__socanx__oth__mindur__pres_dx,mh_p_ksads__socanx__oth__mindur__pres_dx == 1
"Other specified anxiety disorder, social anxiety disorder",socanx,parent,lifetime_union,mh_p_ksads__socanx__oth__mindur__past_dx | mh_p_ksads__socanx__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1)
Social anxiety disorder,socanx,parent,past,mh_p_ksads__socanx__past_dx,mh_p_ksads__socanx__past_dx == 1
Social anxiety disorder,socanx,parent,present,mh_p_ksads__socanx__pres_dx,mh_p_ksads__socanx__pres_dx == 1
Social anxiety disorder,socanx,parent,lifetime_union,mh_p_ksads__socanx__past_dx | mh_p_ksads__socanx__pres_dx,any(present/past/partial_remission _dx == 1)
"Suicidal ideation, active intent",suic,parent,past,mh_p_ksads__suic__actv__int__past_dx,mh_p_ksads__suic__actv__int__past_dx == 1
"Suicidal ideation, active intent",suic,parent,present,mh_p_ksads__suic__actv__int__pres_dx,mh_p_ksads__suic__actv__int__pres_dx == 1
"Suicidal ideation, active intent",suic,parent,lifetime_union,mh_p_ksads__suic__actv__int__past_dx | mh_p_ksads__suic__actv__int__pres_dx,any(present/past/partial_remission _dx == 1)
"Suicidal ideation, active method",suic,parent,past,mh_p_ksads__suic__actv__mthd__past_dx,mh_p_ksads__suic__actv__mthd__past_dx == 1
"Suicidal ideation, active method",suic,parent,present,mh_p_ksads__suic__actv__mthd__pres_dx,mh_p_ksads__suic__actv__mthd__pres_dx == 1
"Suicidal ideation, active method",suic,parent,lifetime_union,mh_p_ksads__suic__actv__mthd__past_dx | mh_p_ksads__suic__actv__mthd__pres_dx,any(present/past/partial_remission _dx == 1)
"Suicidal ideation, active non-specific",suic,parent,past,mh_p_ksads__suic__actv__past_dx,mh_p_ksads__suic__actv__past_dx == 1
"Suicidal ideation, active non-specific",suic,parent,present,mh_p_ksads__suic__actv__pres_dx,mh_p_ksads__suic__actv__pres_dx == 1
"Suicidal ideation, active non-specific",suic,parent,lifetime_union,mh_p_ksads__suic__actv__past_dx | mh_p_ksads__suic__actv__pres_dx,any(present/past/partial_remission _dx == 1)
"Suicidal ideation, active plan",suic,parent,past,mh_p_ksads__suic__actv__plan__past_dx,mh_p_ksads__suic__actv__plan__past_dx == 1
"Suicidal ideation, active plan",suic,parent,present,mh_p_ksads__suic__actv__plan__pres_dx,mh_p_ksads__suic__actv__plan__pres_dx == 1
"Suicidal ideation, active plan",suic,parent,lifetime_union,mh_p_ksads__suic__actv__plan__past_dx | mh_p_ksads__suic__actv__plan__pres_dx,any(present/past/partial_remission _dx == 1)
Aborted attempt,suic,parent,past,mh_p_ksads__suic__atmpt__abrt__past_dx,mh_p_ksads__suic__atmpt__abrt__past_dx == 1
Aborted attempt,suic,parent,present,mh_p_ksads__suic__atmpt__abrt__pres_dx,mh_p_ksads__suic__atmpt__abrt__pres_dx == 1
Aborted attempt,suic,parent,lifetime_union,mh_p_ksads__suic__atmpt__abrt__past_dx | mh_p_ksads__suic__atmpt__abrt__pres_dx,any(present/past/partial_remission _dx == 1)
Interrupted attempt,suic,parent,past,mh_p_ksads__suic__atmpt__intr__past_dx,mh_p_ksads__suic__atmpt__intr__past_dx == 1
Interrupted attempt,suic,parent,present,mh_p_ksads__suic__atmpt__intr__pres_dx,mh_p_ksads__suic__atmpt__intr__pres_dx == 1
Interrupted attempt,suic,parent,lifetime_union,mh_p_ksads__suic__atmpt__intr__past_dx | mh_p_ksads__suic__atmpt__intr__pres_dx,any(present/past/partial_remission _dx == 1)
Suicide attempt,suic,parent,past,mh_p_ksads__suic__atmpt__past_dx,mh_p_ksads__suic__atmpt__past_dx == 1
Suicide attempt,suic,parent,present,mh_p_ksads__suic__atmpt__pres_dx,mh_p_ksads__suic__atmpt__pres_dx == 1
Suicide attempt,suic,parent,lifetime_union,mh_p_ksads__suic__atmpt__past_dx | mh_p_ksads__suic__atmpt__pres_dx,any(present/past/partial_remission _dx == 1)
Preparatory actions toward imminent suicidal behavior,suic,parent,past,mh_p_ksads__suic__imnt__past_dx,mh_p_ksads__suic__imnt__past_dx == 1
Preparatory actions toward imminent suicidal behavior,suic,parent,present,mh_p_ksads__suic__imnt__pres_dx,mh_p_ksads__suic__imnt__pres_dx == 1
Preparatory actions toward imminent suicidal behavior,suic,parent,lifetime_union,mh_p_ksads__suic__imnt__past_dx | mh_p_ksads__suic__imnt__pres_dx,any(present/past/partial_remission _dx == 1)
No past suicidal ideation or behavior,suic,parent,past,mh_p_ksads__suic__none__past_dx,mh_p_ksads__suic__none__past_dx == 1
No suicidal ideation or behavior,suic,parent,present,mh_p_ksads__suic__none__pres_dx,mh_p_ksads__suic__none__pres_dx == 1
"Suicidal ideation, passive",suic,parent,past,mh_p_ksads__suic__pass__past_dx,mh_p_ksads__suic__pass__past_dx == 1
"Suicidal ideation, passive",suic,parent,present,mh_p_ksads__suic__pass__pres_dx,mh_p_ksads__suic__pass__pres_dx == 1
"Suicidal ideation, passive",suic,parent,lifetime_union,mh_p_ksads__suic__pass__past_dx | mh_p_ksads__suic__pass__pres_dx,any(present/past/partial_remission _dx == 1)
"Self injurious behavior, without suicidal intent",suic,parent,past,mh_p_ksads__suic__slfinj__nosi__past_dx,mh_p_ksads__suic__slfinj__nosi__past_dx == 1
"Self injurious behavior, without suicidal intent",suic,parent,present,mh_p_ksads__suic__slfinj__nosi__pres_dx,mh_p_ksads__suic__slfinj__nosi__pres_dx == 1
"Self injurious behavior, without suicidal intent",suic,parent,lifetime_union,mh_p_ksads__suic__slfinj__nosi__past_dx | mh_p_ksads__suic__slfinj__nosi__pres_dx,any(present/past/partial_remission _dx == 1)
Persistent,tic,parent,remission,mh_p_ksads__tic__perst__nosymp__rem_dx,mh_p_ksads__tic__perst__nosymp__rem_dx == 1
Persistent,tic,parent,present,mh_p_ksads__tic__perst__pres_dx,mh_p_ksads__tic__perst__pres_dx == 1
Provisional tic disorder,tic,parent,present,mh_p_ksads__tic__prov__pres_dx,mh_p_ksads__tic__prov__pres_dx == 1
"Tourette's disorder, no symptoms since X",tic,parent,remission,mh_p_ksads__tic__ts__nosymp__rem_dx,mh_p_ksads__tic__ts__nosymp__rem_dx == 1
Tourette's disorder,tic,parent,present,mh_p_ksads__tic__ts__pres_dx,mh_p_ksads__tic__ts__pres_dx == 1
Unspecified tic disorder,tic,parent,past,mh_p_ksads__tic__unspec__past_dx,mh_p_ksads__tic__unspec__past_dx == 1
Unspecified tic disorder,tic,parent,present,mh_p_ksads__tic__unspec__pres_dx,mh_p_ksads__tic__unspec__pres_dx == 1
Unspecified tic disorder,tic,parent,lifetime_union,mh_p_ksads__tic__unspec__past_dx | mh_p_ksads__tic__unspec__pres_dx,any(present/past/partial_remission _dx == 1)
"Bipolar I disorder, currently depressed",bpd,youth,partial_remission,mh_y_ksads__bpd__bpd1__curdep__partrem_dx,mh_y_ksads__bpd__bpd1__curdep__partrem_dx == 1
"Bipolar I disorder, current episode depressed",bpd,youth,present,mh_y_ksads__bpd__bpd1__curdep__pres_dx,mh_y_ksads__bpd__bpd1__curdep__pres_dx == 1
"Bipolar I disorder, currently hypomanic",bpd,youth,present,mh_y_ksads__bpd__bpd1__curhypo__pres_dx,mh_y_ksads__bpd__bpd1__curhypo__pres_dx == 1
"Bipolar I disorder, current episode manic",bpd,youth,present,mh_y_ksads__bpd__bpd1__curmanic__pres_dx,mh_y_ksads__bpd__bpd1__curmanic__pres_dx == 1
"Bipolar I disorder, most recent past episode depressed",bpd,youth,present,mh_y_ksads__bpd__bpd1__rcnt__dep__pres_dx,mh_y_ksads__bpd__bpd1__rcnt__dep__pres_dx == 1
"Bipolar I disorder, most recent past episode manic",bpd,youth,present,mh_y_ksads__bpd__bpd1__rcnt__manic__pres_dx,mh_y_ksads__bpd__bpd1__rcnt__manic__pres_dx == 1
"Bipolar I disorder, most recent episode manic/depressed/mixed",bpd,youth,present,mh_y_ksads__bpd__bpd1__rcnt__manicmix__pres_dx,mh_y_ksads__bpd__bpd1__rcnt__manicmix__pres_dx == 1
"Bipolar II disorder, currently depressed",bpd,youth,partial_remission,mh_y_ksads__bpd__bpd2__curdep__partrem_dx,mh_y_ksads__bpd__bpd2__curdep__partrem_dx == 1
"Bipolar II disorder, currently depressed",bpd,youth,present,mh_y_ksads__bpd__bpd2__curdep__pres_dx,mh_y_ksads__bpd__bpd2__curdep__pres_dx == 1
"Bipolar II disorder, currently depressed",bpd,youth,lifetime_union,mh_y_ksads__bpd__bpd2__curdep__partrem_dx | mh_y_ksads__bpd__bpd2__curdep__pres_dx,any(present/past/partial_remission _dx == 1)
"Bipolar II disorder, currently hypomanic",bpd,youth,present,mh_y_ksads__bpd__bpd2__curhypo__pres_dx,mh_y_ksads__bpd__bpd2__curhypo__pres_dx == 1
